Date,Team,Opponent,Competition,Result,Goals
1999-08-22,Leverkusen II,RW Essen,Regionalliga West,L 0-3,0
1999-08-29,Leverkusen II,Saarbrücken,Regionalliga West,L 0-1,0
1999-09-05,Leverkusen II,Wattenscheid 09,Regionalliga West,L 1-3,0
1999-10-03,Leverkusen II,Rot Weiss Ahlen,Regionalliga West,D 0-0,0
1999-10-10,Leverkusen II,Eintr. Trier,Regionalliga West,D 1-1,0
1999-12-12,Leverkusen II,SC Verl,Regionalliga West,D 0-0,0
1999-12-19,Leverkusen II,Preußen Münster,Regionalliga West,L 0-1,0
2000-02-06,Leverkusen II,FK Pirmasens,Regionalliga West,L 1-2,0
2000-02-13,Leverkusen II,Idar-Oberstein,Regionalliga West,L 1-0,0
2000-02-27,Leverkusen II,Saarbrücken,Regionalliga West,L 0-3,0
2000-03-04,Leverkusen II,Wattenscheid 09,Regionalliga West,D 1-1,0
2000-03-12,Leverkusen II,Sportfr. Siegen,Regionalliga West,W 3-1,1
2000-03-15,Leverkusen II,RW Essen,Regionalliga West,W 5-2,3
2000-03-19,Leverkusen II,K´lautern II,Regionalliga West,D 2-2,0
2000-04-02,Leverkusen II,Rot Weiss Ahlen,Regionalliga West,L 1-3,0
2000-04-08,Leverkusen II,Eintr. Trier,Regionalliga West,D 2-2,1
2000-05-07,Leverkusen II,VfL Bochum II,Regionalliga West,W 3-0,1
2000-05-14,Leverkusen II,F. Düsseldorf,Regionalliga West,W 1-0,0
2000-05-21,Leverkusen II,KFC Uerdingen,Regionalliga West,L 0-1,0
2000-05-28,Leverkusen II,FSV Salmrohr,Regionalliga West,W 6-1,0
2000-08-19,Leverkusen II,TSC Euskirchen,Oberliga Nordrhein,W 4-0,0
2000-08-25,Leverkusen II,FC St. Pauli,DFB-Pokal,L 1-2,0
2000-10-08,Leverkusen II,Düsseldorf II,Oberliga Nordrhein,W 7-4,0
2000-10-15,Leverkusen II,SSVg Velbert,Oberliga Nordrhein,W 4-1,1
2000-10-25,USA,Mexico,Friendly,W 2-0,1
2000-10-29,Leverkusen II,SV Straelen,Oberliga Nordrhein,W 5-1,2
2000-11-05,Leverkusen II,Freialdenhoven,Oberliga Nordrhein,W 3-1,0
2001-01-27,USA,China,Friendly,W 2-1,0
2001-02-03,USA,Colombia,Friendly,L 0-1,0
2001-02-11,Leverkusen II,FC Remscheid,Oberliga Nordrhein,D 0-0,0
2001-02-14,Leverkusen II,Ratingen 04/19,Oberliga Nordrhein,D 0-0,0
2001-02-18,Leverkusen II,1.FC Bocholt,Oberliga Nordrhein,W 2-0,0
2001-03-03,USA,Brazil,Friendly,L 1-2,0
2001-04-07,San Jose,Los Angeles,MLS,W 3-2,0
2001-04-14,San Jose,Dallas,MLS,L 0-1,0
2001-04-28,San Jose,Kansas City,MLS,D 0-0,0
2001-05-05,San Jose,New England,MLS,L 2-3,0
2001-05-12,San Jose,D.C. United,MLS,W 3-2,0
2001-05-19,San Jose,New York,MLS,W 2-0,1
2001-05-23,San Jose,Dallas,MLS,W 2-0,0
2001-05-26,San Jose,Chicago,MLS,D 1-1,0
2001-05-30,San Jose,Colorado,MLS,D 1-1,0
2001-06-02,San Jose,Colorado,MLS,W 1-2,1
2001-06-09,San Jose,Los Angeles,MLS,W 3-1,2
2001-07-04,San Jose,Miami,MLS,D 1-1,0
2001-07-07,San Jose,Colorado,MLS,L 1-3,0
2001-07-11,San Jose,Milwaukee,US Open Cup,W 0-0 7-6PK,0
2001-07-14,San Jose,Tampa Bay,MLS,W 2-1,0
2001-07-18,San Jose,D.C. United,MLS,W 4-0,0
2001-07-21,San Jose,Columbus,MLS,L 1-2,0
2001-07-24,San Jose,Los Angeles,US Open Cup,L 1-1 9-10PK,0
2001-07-28,MLS All-Star,MLS All-Star West,All-Star,D 6-6,4
2001-08-04,San Jose,Tampa Bay,MLS,L 0-2,0
2001-08-08,San Jose,New England,MLS,W 1-5,2
2001-08-11,San Jose,Columbus,MLS,D 2-2,0
2001-08-18,San Jose,Chicago,MLS,L 0-1,0
2001-08-25,San Jose,Colorado,MLS,W 5-2,1
2001-09-01,USA,Honduras,WCQ,L 2-3,0
2001-09-05,USA,Costa Rica,WCQ,L 2-0,0
2001-09-08,San Jose,Kansas City,MLS,L 0-1,0
2001-09-22,San Jose,Columbus,MLS,W 3-1,2
2001-09-26,San Jose,Columbus,MLS,W 0-3,1
2001-10-07,USA,Jamaica,WCQ,W 2-1,0
2001-10-10,San Jose,Miami,MLS,L 1-0,0
2001-10-14,San Jose,Miami,MLS,W 0-4,1
2001-10-17,San Jose,Miami,MLS,W 0-1,0
2001-10-21,San Jose,Los Angeles,MLS,W 1-2,1
2001-11-11,USA,Trin & Tob,WCQ,D 0-0,0
2001-12-09,USA,South Korea,Friendly,L 0-1,0
2002-01-18,USA,South Korea,Gold Cup,W 2-1,1
2002-01-20,USA,Cuba,Gold Cup,W 1-0,0
2002-01-26,USA,El Salvador,Gold Cup,W 4-0,0
2002-01-29,USA,Canada,Gold Cup,W 0-0 4-2PK,0
2002-02-01,USA,Costa Rica,Gold Cup,W 2-0,0
2002-02-13,USA,Italy,Friendly,L 1-0,0
